run,capture_command_seconds,capture_to_gpu_observed_seconds,capture_to_original_exit_seconds,capture_to_sync_seconds,generation,job_b_seconds,post_exit_observation_window_seconds,restore_command_seconds,restore_to_next_update_seconds,trainer_to_controller_clock_ns,between_workers_seconds,capture_worker_to_publication_seconds,payload_hash_seconds,payload_sync_seconds,publication_seconds,request_to_ready_seconds,restore_inspection_seconds,restore_preflight_seconds
application-dropout,0.100492429,0.948064937,0.915947938,0.955909258,2,1.968374867,0.032116999,0.000517759,7.708886623,0,,,,,,,,
application-zero,0.100488073,0.948022378,0.915911868,0.964597615,2,2.018054675,0.03211051,0.000500121,7.570547165,0,,,,,,,,
criu-dropout,23.452021152,23.516362207,23.452184005,44.869490952,2,2.16848829,0.064178202,3.255045523,10.221000373,29075446817,2.175159341,44.981328106,2.803481954,18.534064388,0.015582403,12.84883055,1.795228332,4.975112046
criu-early,21.830946184,21.87812582,21.846006148,47.23819802,1,3.270694168,0.032119672,3.202858624,10.509345061,34573667677,3.279111805,47.348894362,9.096738091,16.251796233,0.011537876,10.836084305,1.847732719,5.267105589
criu-repeated,23.637945245,23.693706764,23.661473958,51.819974248,2,2.018449419,0.032232806,3.353492349,10.331409409,35890913151,2.027153636,51.937031789,13.405264666,14.708061785,0.012941033,12.746357009,1.793577423,4.994686789
criu-repeated,14.028257709,14.094552219,14.028403432,35.21717525,3,2.018404893,0.066148787,3.304045824,10.322273358,64547866321,2.026423619,35.279929356,2.786555192,18.325362544,0.010705295,3.173151412,1.847487205,4.984218489
criu-zero,23.063470152,23.095708537,23.063625445,44.388852807,2,2.068767105,0.032083092,3.254196978,10.246810381,28769525945,2.078883313,44.503048633,2.781736544,18.499141458,0.012266268,12.597513291,1.847905606,4.927810592
timing-application-1,0.100506694,0.948280284,0.916033791,0.964249728,2,1.968314046,0.032246493,0.000491841,5.038011342,0,,,,,,,,
timing-application-2,0.100625773,0.898001735,0.865911389,0.914555329,2,1.968264367,0.032090346,0.000496491,4.944097498,0,,,,,,,,
timing-application-3,0.10042968,0.948143041,0.915813539,0.964080201,2,1.968233004,0.032329502,0.000493181,5.010136874,0,,,,,,,,
timing-criu-1,23.215810665,23.248171729,23.21603356,44.572914573,2,2.018137555,0.032138169,3.203507015,10.114783096,28738789094,2.026222841,44.693681028,2.773912356,18.535524566,0.015305922,12.748099528,1.793782067,4.915225988
timing-criu-2,22.895257283,22.927510273,22.895431587,44.264274566,2,2.018325456,0.032078686,3.25330247,10.202268627,28790568401,2.025333021,44.377767206,2.787622311,18.533251052,0.01589093,12.492467373,1.842808843,4.914182728
timing-criu-3,23.379717143,23.425990343,23.393917496,48.431429078,2,2.018161949,0.032072847,4.973107387,11.910530967,32595514303,2.024924328,48.549716922,8.405689534,16.585459825,0.014289376,12.648138261,1.842263774,4.909330837
