run,mode,dropout,updates,capture,timing,lifecycle_passed,numerical_passed,trial_seconds,cli_wall_seconds,image_bytes,application_bytes,warning_count,result_sha256,key_sha256
application-dropout,application,0.1,4,2,False,True,True,26.421503966,28.155585572938435,0,6710199,0,9578f4b5ebd37d198b90fd481152aba295821c5c131310fd0a5428b6965cde27,586a320b917894442de5c3c2e4b56336e83789f099467ab86e39bb903bed274a
application-zero,application,0.0,4,2,False,True,True,26.322463554,28.0730948849814,0,6705655,0,a41607c3a12d8732ba42c9426f2552969fc1a9fe5f3b6eab4f9ca31826be0bbd,4b3669dce8d241df3416befb28b2965f35eaca9c90cae7af702d9446a209a9cb
criu-dropout,criu,0.1,4,2,False,True,True,64.908212754,66.67924774391577,3732174162,0,1,067550f4c64286af59e4a6f52ecaf3a7d146ac344229feb786ad7aee416a6c16,586a320b917894442de5c3c2e4b56336e83789f099467ab86e39bb903bed274a
criu-early,criu,0.0,2,1,False,True,True,66.695990445,68.47441990289371,3734158970,0,1,afa7b30a3b304e6be3968091182a476fcd0a28274ab4df960bbdcc79e8da71e2,2478551027c698fb5afaccbb258e0fe72ad7daff51a1926b690f85135137f890
criu-repeated,criu,0.1,4,2;3,False,True,True,123.809845066,125.62862799805589,7464394629,0,2,5a0d49aa5672935deec41948542b1f8ab9220bb354f87b489aa1274654097595,586a320b917894442de5c3c2e4b56336e83789f099467ab86e39bb903bed274a
criu-zero,criu,0.0,4,2,False,True,True,64.279206084,66.03872702794615,3706775861,0,1,40f53e6b2b9549a3456f7b86aa4134b829ba301e422b2d93a0acc70e4f2539f2,4b3669dce8d241df3416befb28b2965f35eaca9c90cae7af702d9446a209a9cb
reference-dropout,reference,0.1,4,,False,True,True,31.670355423,33.469915302004665,0,0,0,0604aacaaec97cb75fbffd3f763341ea0e5e53318757b8055a742f6b1a4b8af4,586a320b917894442de5c3c2e4b56336e83789f099467ab86e39bb903bed274a
reference-early,reference,0.0,2,,False,True,True,24.011574279,25.74179161596112,0,0,0,5d87a1a8084637e0c03e0f3755d9244d5efa0bc64b8d64950214f5e30231024f,2478551027c698fb5afaccbb258e0fe72ad7daff51a1926b690f85135137f890
reference-zero,reference,0.0,4,,False,True,True,31.876518707,33.605875769048,0,0,0,16ca3ac5b24d8d1ad2ef8af55424669b518279288025409d85bbd1c2210ad076,4b3669dce8d241df3416befb28b2965f35eaca9c90cae7af702d9446a209a9cb
timing-application-1,application,0.0,4,2,True,True,True,17.026853339,18.808539521996863,0,6705655,0,964f8dfb537df5ff60ba676f0fec74e6a39c8655711e654e566f2eacd52dc08d,4b3669dce8d241df3416befb28b2965f35eaca9c90cae7af702d9446a209a9cb
timing-application-2,application,0.0,4,2,True,True,True,16.63858812,18.40571836999152,0,6705655,0,a66cfc156d2f359237f67216488303e335953bef1692e03949d14fc196ba1ce5,4b3669dce8d241df3416befb28b2965f35eaca9c90cae7af702d9446a209a9cb
timing-application-3,application,0.0,4,2,True,True,True,16.72925731,18.43123835104052,0,6705655,0,fc52114fc2fd1872bf14acc62c6138fc835d035cee8d5404cf3bf2c05f5cef3f,4b3669dce8d241df3416befb28b2965f35eaca9c90cae7af702d9446a209a9cb
timing-criu-1,criu,0.0,4,2,True,True,True,65.031873609,66.76520803396124,3714651710,0,1,8e3842560b58cb4745b79032d06ed48ccf56f7bba49bcce58161d0be160c511d,4b3669dce8d241df3416befb28b2965f35eaca9c90cae7af702d9446a209a9cb
timing-criu-2,criu,0.0,4,2,True,True,True,64.810896974,66.53504689596593,3703544437,0,1,c0b4f320f506b456ac52938f9f742a38af1b0c3359f302bcce8bfc1e453be93b,4b3669dce8d241df3416befb28b2965f35eaca9c90cae7af702d9446a209a9cb
timing-criu-3,criu,0.0,4,2,True,True,True,70.735299454,72.49051935400348,3710417473,0,1,a6e3ac02546d97ecf4a0569d16ae540be47d0eab33c3cab648a1008c0e234da1,4b3669dce8d241df3416befb28b2965f35eaca9c90cae7af702d9446a209a9cb
