block,route,run,status,start_to_first_token_seconds,health_request_to_first_token_seconds,message_write_seconds,model,image_bytes,preparation_seconds,save_seconds,rss_bytes,reserved_vram,idle_host_rss_bytes,idle_gpu_bytes,sample_interval_ms,observed_peak_gpu_bytes,observed_peak_rss_bytes,reuse_claim
1,fresh,timing/b1-fresh,passed,10.996683523,0.07838383,"[0.002944314, 0.004430286]",Qwen/Qwen3-8B,0,10.612635431,,921825280,16385048576,0,0,100,16801333248,17239306240,
1,resident,timing/b1-resident,passed,0.073681609,0.078786295,"[0.004756773, 0.004999285]",Qwen/Qwen3-8B,0,22.55087522,,1491775488,16418603008,1491775488,16418603008,100,16801333248,16930254848,
1,ram,timing/b1-ram,passed,4.056849018,0.07138319,"[0.002984266, 0.003056138]",Qwen/Qwen3-8B,0,22.614145131,10.918685915,1492283392,16418603008,18202431488,0,100,16801333248,18273079296,allocation_enabled_by_release
1,disk,timing/b1-disk,passed,274.025675177,0.078150216,"[0.004161551, 0.003124478]",Qwen/Qwen3-8B,17838989492,24.813556818,280.578699654,1491775488,16418603008,0,0,100,16801333248,18272399360,allocation_enabled_by_release
2,resident,timing/b2-resident,passed,0.076196537,0.07417647,"[0.002540366, 0.005649314]",Qwen/Qwen3-8B,0,25.873203488,,1491308544,16418603008,1491308544,16418603008,100,16801333248,17247916032,
2,ram,timing/b2-ram,passed,4.033242911,0.07124066,"[0.003470336, 0.002832692]",Qwen/Qwen3-8B,0,22.568093988,10.94744517,1492127744,16418603008,18202001408,0,100,16801333248,18272649216,allocation_enabled_by_release
2,disk,timing/b2-disk,passed,279.367352749,0.075335644,"[0.002585067, 0.004887437]",Qwen/Qwen3-8B,17839042714,24.762451163,278.262281019,1491640320,16418603008,0,0,100,16801333248,18272526336,allocation_enabled_by_release
2,fresh,timing/b2-fresh,passed,11.417550471,0.077904524,"[0.005168156, 0.004264893]",Qwen/Qwen3-8B,0,10.879198567,,920879104,16385048576,0,0,100,16801333248,17010786304,
3,disk,timing/b3-disk,passed,277.620257001,0.093333625,"[0.003127968, 0.0033014]",Qwen/Qwen3-8B,17839079604,22.603128749,279.177621591,1492013056,16418603008,0,0,100,16801333248,18272636928,allocation_enabled_by_release
3,fresh,timing/b3-fresh,passed,11.152171633,0.0800236,"[0.004059369, 0.004677602]",Qwen/Qwen3-8B,0,10.734317841,,920768512,16385048576,0,0,100,16801333248,17103368192,
3,resident,timing/b3-resident,passed,0.077553868,0.077728111,"[0.003997507, 0.003851494]",Qwen/Qwen3-8B,0,22.588751052,,1491312640,16418603008,1491312640,16418603008,100,16801333248,16912478208,
3,ram,timing/b3-ram,passed,4.03778438,0.073910693,"[0.002631267, 0.004102099]",Qwen/Qwen3-8B,0,22.600931708,10.871090487,1491812352,16418603008,18202112000,0,100,16801333248,18272759808,allocation_enabled_by_release
